Train data size: 614
Test data size: 154
Feature columns: ['SkinThickness', 'BMI', 'Insulin', 'Glucose', 'BloodPressure', 'DiabetesPedigreeFunction', 'Pregnancies', 'Age']
[331]   validation_0-auc:0.88599        validation_1-auc:0.80833
[332]   validation_0-auc:0.88598        validation_1-auc:0.80833
[333]   validation_0-auc:0.88588        validation_1-auc:0.80852
[334]   validation_0-auc:0.88586        validation_1-auc:0.80833
[335]   validation_0-auc:0.88591        validation_1-auc:0.80796
[336]   validation_0-auc:0.88603        validation_1-auc:0.80815
[337]   validation_0-auc:0.88596        validation_1-auc:0.80852
[338]   validation_0-auc:0.88598        validation_1-auc:0.80852
[339]   validation_0-auc:0.88597        validation_1-auc:0.80870
[340]   validation_0-auc:0.88607        validation_1-auc:0.80889
[341]   validation_0-auc:0.88604        validation_1-auc:0.80852
[342]   validation_0-auc:0.88604        validation_1-auc:0.80815
[343]   validation_0-auc:0.88607        validation_1-auc:0.80778
[344]   validation_0-auc:0.88605        validation_1-auc:0.80796
[345]   validation_0-auc:0.88620        validation_1-auc:0.80778
[346]   validation_0-auc:0.88620        validation_1-auc:0.80815
[347]   validation_0-auc:0.88623        validation_1-auc:0.80796
[348]   validation_0-auc:0.88633        validation_1-auc:0.80704
[349]   validation_0-auc:0.88641        validation_1-auc:0.80685
[350]   validation_0-auc:0.88641        validation_1-auc:0.80704
[351]   validation_0-auc:0.88641        validation_1-auc:0.80722
[352]   validation_0-auc:0.88638        validation_1-auc:0.80722
[353]   validation_0-auc:0.88631        validation_1-auc:0.80704
[354]   validation_0-auc:0.88645        validation_1-auc:0.80685
[355]   validation_0-auc:0.88652        validation_1-auc:0.80704
[356]   validation_0-auc:0.88646        validation_1-auc:0.80722
[357]   validation_0-auc:0.88654        validation_1-auc:0.80667
[358]   validation_0-auc:0.88650        validation_1-auc:0.80722
[359]   validation_0-auc:0.88654        validation_1-auc:0.80722
[360]   validation_0-auc:0.88658        validation_1-auc:0.80722
[361]   validation_0-auc:0.88672        validation_1-auc:0.80704
[362]   validation_0-auc:0.88666        validation_1-auc:0.80704
[363]   validation_0-auc:0.88683        validation_1-auc:0.80685
[364]   validation_0-auc:0.88685        validation_1-auc:0.80704
[365]   validation_0-auc:0.88697        validation_1-auc:0.80685
[366]   validation_0-auc:0.88688        validation_1-auc:0.80704
[367]   validation_0-auc:0.88690        validation_1-auc:0.80704
[368]   validation_0-auc:0.88695        validation_1-auc:0.80741
[369]   validation_0-auc:0.88701        validation_1-auc:0.80685
[370]   validation_0-auc:0.88706        validation_1-auc:0.80667
[371]   validation_0-auc:0.88711        validation_1-auc:0.80704
[372]   validation_0-auc:0.88713        validation_1-auc:0.80722
[373]   validation_0-auc:0.88713        validation_1-auc:0.80741
[374]   validation_0-auc:0.88716        validation_1-auc:0.80741
[375]   validation_0-auc:0.88721        validation_1-auc:0.80741
[376]   validation_0-auc:0.88721        validation_1-auc:0.80741
[377]   validation_0-auc:0.88732        validation_1-auc:0.80685
[378]   validation_0-auc:0.88723        validation_1-auc:0.80667
[379]   validation_0-auc:0.88738        validation_1-auc:0.80685
[380]   validation_0-auc:0.88735        validation_1-auc:0.80704
[381]   validation_0-auc:0.88735        validation_1-auc:0.80667
[382]   validation_0-auc:0.88734        validation_1-auc:0.80685
[383]   validation_0-auc:0.88750        validation_1-auc:0.80759
[384]   validation_0-auc:0.88741        validation_1-auc:0.80759
[385]   validation_0-auc:0.88736        validation_1-auc:0.80759
[386]   validation_0-auc:0.88731        validation_1-auc:0.80741
[387]   validation_0-auc:0.88727        validation_1-auc:0.80741
[388]   validation_0-auc:0.88728        validation_1-auc:0.80741
[389]   validation_0-auc:0.88735        validation_1-auc:0.80759
[390]   validation_0-auc:0.88727        validation_1-auc:0.80759
[391]   validation_0-auc:0.88723        validation_1-auc:0.80778
[392]   validation_0-auc:0.88727        validation_1-auc:0.80796
[393]   validation_0-auc:0.88722        validation_1-auc:0.80796
[394]   validation_0-auc:0.88717        validation_1-auc:0.80815
[395]   validation_0-auc:0.88723        validation_1-auc:0.80815
[396]   validation_0-auc:0.88728        validation_1-auc:0.80796
[397]   validation_0-auc:0.88744        validation_1-auc:0.80852
[398]   validation_0-auc:0.88734        validation_1-auc:0.80852
[399]   validation_0-auc:0.88744        validation_1-auc:0.80815
[400]   validation_0-auc:0.88747        validation_1-auc:0.80815
[401]   validation_0-auc:0.88739        validation_1-auc:0.80833
[402]   validation_0-auc:0.88746        validation_1-auc:0.80852
[403]   validation_0-auc:0.88739        validation_1-auc:0.80870
[404]   validation_0-auc:0.88752        validation_1-auc:0.80870
[405]   validation_0-auc:0.88761        validation_1-auc:0.80889
[406]   validation_0-auc:0.88754        validation_1-auc:0.80870
[407]   validation_0-auc:0.88769        validation_1-auc:0.80852
[408]   validation_0-auc:0.88773        validation_1-auc:0.80889
[409]   validation_0-auc:0.88769        validation_1-auc:0.80926
[410]   validation_0-auc:0.88775        validation_1-auc:0.80926
[411]   validation_0-auc:0.88785        validation_1-auc:0.80926
[412]   validation_0-auc:0.88791        validation_1-auc:0.80907
[413]   validation_0-auc:0.88779        validation_1-auc:0.80907
[414]   validation_0-auc:0.88771        validation_1-auc:0.80889
[415]   validation_0-auc:0.88770        validation_1-auc:0.80889
[416]   validation_0-auc:0.88769        validation_1-auc:0.80907
[417]   validation_0-auc:0.88777        validation_1-auc:0.80944
[418]   validation_0-auc:0.88780        validation_1-auc:0.80944
[419]   validation_0-auc:0.88777        validation_1-auc:0.80944
[420]   validation_0-auc:0.88792        validation_1-auc:0.80944
[421]   validation_0-auc:0.88793        validation_1-auc:0.80870
[422]   validation_0-auc:0.88785        validation_1-auc:0.80852
[423]   validation_0-auc:0.88799        validation_1-auc:0.80907
[424]   validation_0-auc:0.88803        validation_1-auc:0.80889
[425]   validation_0-auc:0.88802        validation_1-auc:0.80889
[426]   validation_0-auc:0.88800        validation_1-auc:0.80889
[427]   validation_0-auc:0.88799        validation_1-auc:0.80870
[428]   validation_0-auc:0.88810        validation_1-auc:0.80870
[429]   validation_0-auc:0.88801        validation_1-auc:0.80870
[430]   validation_0-auc:0.88804        validation_1-auc:0.80870
[431]   validation_0-auc:0.88800        validation_1-auc:0.80870
[432]   validation_0-auc:0.88813        validation_1-auc:0.80852
[433]   validation_0-auc:0.88808        validation_1-auc:0.80852
[434]   validation_0-auc:0.88815        validation_1-auc:0.80833
[435]   validation_0-auc:0.88815        validation_1-auc:0.80833
[436]   validation_0-auc:0.88818        validation_1-auc:0.80870
[437]   validation_0-auc:0.88827        validation_1-auc:0.80889
[438]   validation_0-auc:0.88827        validation_1-auc:0.80889
[439]   validation_0-auc:0.88825        validation_1-auc:0.80889
[440]   validation_0-auc:0.88825        validation_1-auc:0.80889
[441]   validation_0-auc:0.88820        validation_1-auc:0.80852
[442]   validation_0-auc:0.88820        validation_1-auc:0.80852
[443]   validation_0-auc:0.88826        validation_1-auc:0.80852
[444]   validation_0-auc:0.88833        validation_1-auc:0.80870
[445]   validation_0-auc:0.88833        validation_1-auc:0.80889
[446]   validation_0-auc:0.88836        validation_1-auc:0.80852
[447]   validation_0-auc:0.88846        validation_1-auc:0.80852
[448]   validation_0-auc:0.88864        validation_1-auc:0.80852
[449]   validation_0-auc:0.88856        validation_1-auc:0.80852
[450]   validation_0-auc:0.88861        validation_1-auc:0.80870
